24 Feb 2016 17:29:20:580; >Start test method: testHybridApp
24 Feb 2016 17:29:20:589; Execute: findElement(By.id(com.example.testapp:id/urlField)
24 Feb 2016 17:29:21:196; Execute: findElement(By.id(com.example.testapp:id/goButton)
24 Feb 2016 17:29:22:083; Execute: waitToBeVisible(urlField)
24 Feb 2016 17:29:22:155; Execute: waitToBeVisible(goButton)
24 Feb 2016 17:29:22:180; Execute: sendKeys( urlField)
24 Feb 2016 17:29:27:263; Execute: click(goButton)
24 Feb 2016 17:29:28:279; context = NATIVE_APP
24 Feb 2016 17:29:28:279; context = WEBVIEW_com.example.testapp
24 Feb 2016 17:29:32:314; Fail to execute: switchContentToWeb(null)
24 Feb 2016 17:29:32:321; >TestFail: testHybridApp on AppTests.HybridTest class 
24 Feb 2016 17:29:32:391; Fail to execute: switchContentToNative(null)
24 Feb 2016 17:29:32:391; >TestFail: testHybridApp on AppTests.HybridTest class 
24 Feb 2016 17:29:32:479; Fail to execute: switchContentToNative(null)
24 Feb 2016 17:29:32:481; $$$$ Test ended! $$$$
24 Feb 2016 17:29:32:481; ----------------------------------------------------------------------------
24 Feb 2016 17:35:32:349; ----------------------------------------------------------------------------
24 Feb 2016 17:35:42:596; Test started on localhost.localdomain machine
24 Feb 2016 17:35:42:597; >Start test method: testHybridApp
24 Feb 2016 17:35:42:606; Execute: findElement(By.id(com.example.testapp:id/urlField)
24 Feb 2016 17:35:43:349; Execute: findElement(By.id(com.example.testapp:id/goButton)
24 Feb 2016 17:35:43:985; Execute: waitToBeVisible(urlField)
24 Feb 2016 17:35:44:334; Execute: waitToBeVisible(goButton)
24 Feb 2016 17:35:44:370; Execute: sendKeys( urlField)
24 Feb 2016 17:35:49:498; Execute: click(goButton)
24 Feb 2016 17:35:50:440; context = NATIVE_APP
24 Feb 2016 17:35:50:440; context = WEBVIEW_com.example.testapp
24 Feb 2016 17:35:54:471; Fail to execute: switchContentToWeb(null)
24 Feb 2016 17:35:54:481; >TestFail: testHybridApp on AppTests.HybridTest class 
